UserID,TotalActionNum,Time,Task,TaskActionNum,Address,Key,AssemblyDist,BlockDist,FunctionDist
003,1,1652463458.696717,Point_of_Interest_Triage_1,1,00407680,0040797e,124,11,0
003,2,1652463573.726176,Point_of_Interest_Analysis_1,1,004078f9,0040797e,18,1,0
003,3,1652463586.022305,Point_of_Interest_Analysis_1,2,004078f9,0040797e,18,1,0
003,4,1652463596.45907,Point_of_Interest_Analysis_1,3,004078f9,0040797e,18,1,0
003,5,1652463809.327447,Point_of_Interest_Analysis_1,4,004078f9,0040797e,18,1,0
003,6,1652463911.590541,Point_of_Interest_Analysis_1,5,004078e8,0040797e,23,1,0
003,7,1652464038.009989,Point_of_Interest_Triage_2,1,00402444,00402477,14,0,0
003,8,1652464190.519366,Point_of_Interest_Analysis_2,1,00402444,00402477,14,0,0
003,9,1652464250.60918,Point_of_Interest_Analysis_2,2,00402444,00402477,14,0,0
003,10,1652464268.731193,Point_of_Interest_Analysis_2,3,00402444,00402477,14,0,0
003,11,1652464661.20855,Point_of_Interest_Triage_4,1,0040778b,004077eb,12,2,0
003,12,1652464661.20855,Point_of_Interest_Triage_4,2,0040788f,004077eb,29,1,0
003,13,1652464777.738302,Point_of_Interest_Triage_4,3,0040778b,004077eb,12,2,0
003,14,1652464788.202484,Point_of_Interest_Triage_4,4,0040788f,004077eb,29,1,0
003,15,1652464789.186774,Point_of_Interest_Triage_4,5,004076ad,004077eb,40,9,0
003,16,1652464913.184791,Point_of_Interest_Analysis_4,1,0040778b,004077eb,12,2,0
003,17,1652464913.184791,Point_of_Interest_Analysis_4,2,0040788f,004077eb,29,1,0
003,18,1652465109.478658,Point_of_Interest_Analysis_4,3,0040778b,004077eb,12,2,0
003,19,1652465112.167725,Point_of_Interest_Analysis_4,4,004077eb,004077eb,0,0,0
003,20,1652465112.167725,Point_of_Interest_Analysis_4,5,0040778b,004077eb,12,2,0
003,21,1652465141.28306,Point_of_Interest_Analysis_4,6,004077eb,004077eb,0,0,0
003,22,1652465141.28306,Point_of_Interest_Analysis_4,7,0040778b,004077eb,12,2,0
003,23,1652465159.633976,Point_of_Interest_Analysis_4,8,0040778b,004077eb,12,2,0
003,24,1652465159.633976,Point_of_Interest_Analysis_4,9,004077eb,004077eb,0,0,0
003,25,1652465170.119758,Point_of_Interest_Analysis_4,10,0040778b,004077eb,12,2,0
003,26,1652465251.407371,Point_of_Interest_Analysis_4,11,0040778b,004077eb,12,2,0
003,27,1652465295.333978,Point_of_Interest_Analysis_4,12,0040778b,004077eb,12,2,0
003,28,1652465295.333978,Point_of_Interest_Analysis_4,13,004077eb,004077eb,0,0,0
