UserID,TotalActionNum,Time,Task,TaskActionNum,Address,Key,AssemblyDist,BlockDist,FunctionDist
004,1,1661809781.912863,Point_of_Interest_Triage_1,1,004078f9,0040797e,18,1,0
004,2,1661809976.295018,Point_of_Interest_Analysis_1,1,004078f9,0040797e,18,1,0
004,3,1661810010.636247,Point_of_Interest_Analysis_1,2,004078f9,0040797e,18,1,0
004,4,1661810010.636247,Point_of_Interest_Analysis_1,3,004076ad,0040797e,114,11,0
004,5,1661810072.019019,Point_of_Interest_Analysis_1,4,004078f9,0040797e,18,1,0
004,6,1661810088.220155,Point_of_Interest_Analysis_1,5,004078f9,0040797e,18,1,0
004,7,1661810088.220155,Point_of_Interest_Analysis_1,6,004076ad,0040797e,114,11,0
004,8,1661810150.65526,Point_of_Interest_Analysis_1,7,004078f9,0040797e,18,1,0
004,9,1661810217.715886,Point_of_Interest_Analysis_1,8,004078f9,0040797e,18,1,0
004,10,1661810220.794783,Point_of_Interest_Analysis_1,9,004078f9,0040797e,18,1,0
004,11,1661810243.176115,Point_of_Interest_Analysis_1,10,004078f9,0040797e,18,1,0
004,12,1661810363.386098,Point_of_Interest_Triage_2,1,004078f9,00402477,300,31,3
004,13,1661810402.202016,Point_of_Interest_Triage_2,2,00402444,00402477,14,0,0
004,14,1661810404.546953,Point_of_Interest_Triage_2,3,00402484,00402477,3,0,0
004,15,1661810474.848887,Point_of_Interest_Analysis_2,1,00402444,00402477,14,0,0
004,16,1661810518.935582,Point_of_Interest_Analysis_2,2,00402444,00402477,14,0,0
004,17,1661810618.441685,Point_of_Interest_Analysis_2,3,00402444,00402477,14,0,0
004,18,1661810899.122955,Point_of_Interest_Analysis_2,4,00402444,00402477,14,0,0
004,19,1661811225.018482,Point_of_Interest_Triage_4,1,0040788f,004077eb,29,1,0
004,20,1661811225.018482,Point_of_Interest_Triage_4,2,0040778b,004077eb,12,2,0
004,21,1661811322.699649,Point_of_Interest_Triage_4,3,0040778b,004077eb,12,2,0
004,22,1661811322.699649,Point_of_Interest_Triage_4,4,0040788f,004077eb,29,1,0
004,23,1661811335.343854,Point_of_Interest_Triage_4,5,0040778b,004077eb,12,2,0
004,24,1661811335.343854,Point_of_Interest_Triage_4,6,0040788f,004077eb,29,1,0
004,25,1661811377.728379,Point_of_Interest_Analysis_4,1,0040778b,004077eb,12,2,0
004,26,1661811377.728379,Point_of_Interest_Analysis_4,2,0040788f,004077eb,29,1,0
004,27,1661811388.067596,Point_of_Interest_Analysis_4,3,0040778b,004077eb,12,2,0
004,28,1661811388.067596,Point_of_Interest_Analysis_4,4,0040788f,004077eb,29,1,0
004,29,1661811445.076882,Point_of_Interest_Analysis_4,5,0040778b,004077eb,12,2,0
004,30,1661811445.076882,Point_of_Interest_Analysis_4,6,0040788f,004077eb,29,1,0
004,31,1661811448.209464,Point_of_Interest_Analysis_4,7,0040778b,004077eb,12,2,0
004,32,1661811448.209464,Point_of_Interest_Analysis_4,8,0040788f,004077eb,29,1,0
004,33,1661811451.392807,Point_of_Interest_Analysis_4,9,0040778b,004077eb,12,2,0
