UserID,Time,TaskLoad,Engagement
004,1661806203.975,1.844,0.375
004,1661806204.476,6.47,0.155
004,1661806204.976,3.071,0.166
004,1661806205.476,7.171,0.124
004,1661806205.976,1.897,0.242
004,1661806206.476,3.704,0.162
004,1661806206.976,2.333,0.252
004,1661806207.476,1.438,0.168
004,1661806207.976,1.544,0.198
004,1661806208.476,2.909,0.277
004,1661806208.976,4.44,0.163
004,1661806209.476,2.252,0.206
004,1661806209.976,1.939,0.283
004,1661806210.476,2.843,0.28
004,1661806210.976,3.507,0.195
004,1661806211.476,1.853,0.428
004,1661806211.976,3.643,0.292
004,1661806212.476,2.462,0.433
004,1661806212.976,2.036,0.308
004,1661806213.476,1.874,0.285
004,1661806213.976,9.223,0.107
004,1661806214.477,2.546,0.285
004,1661806214.977,4.015,0.263
004,1661806215.477,2.45,0.225
004,1661806215.977,2.171,0.376
004,1661806216.477,7.017,0.091
004,1661806216.977,1.819,0.268
004,1661806217.477,2.481,0.2
004,1661806217.977,4.34,0.258
004,1661806218.477,1.696,0.415
004,1661806218.977,3.539,0.115
004,1661806219.477,4.209,0.216
004,1661806219.977,3.418,0.127
004,1661806220.477,2.139,0.273
004,1661806220.977,3.879,0.251
004,1661806221.477,1.754,0.27
004,1661806221.977,2.043,0.337
004,1661806222.477,2.419,0.283
004,1661806222.977,2.12,0.229
004,1661806223.477,2.106,0.229
004,1661806223.977,2.604,0.224
004,1661806224.478,2.727,0.181
004,1661806224.978,1.973,0.238
004,1661806225.478,4.575,0.224
004,1661806225.978,1.982,0.244
004,1661806226.478,4.414,0.188
004,1661806226.978,3.994,0.276
004,1661806227.478,3.419,0.235
004,1661806227.978,18.266,0.047
004,1661806228.478,4.013,0.217
004,1661806228.978,2.52,0.238
004,1661806229.478,3.099,0.201
004,1661806229.978,2.508,0.254
004,1661806230.478,2.074,0.172
004,1661806230.978,1.968,0.198
004,1661806231.478,2.196,0.25
004,1661806231.978,2.388,0.329
004,1661806232.478,2.735,0.248
004,1661806232.978,4.534,0.194
004,1661806233.478,1.508,0.231
004,1661806233.979,1.251,0.404
004,1661806234.479,4.031,0.311
004,1661806234.979,4.934,0.192
004,1661806235.479,1.804,0.25
004,1661806235.979,2.846,0.281
004,1661806236.479,2.672,0.3
004,1661806236.979,1.906,0.197
004,1661806237.479,2.797,0.352
004,1661806237.979,2.126,0.298
004,1661806238.479,2.04,0.237
004,1661806238.979,3.091,0.141
004,1661806239.479,2.478,0.318
004,1661806239.979,3.509,0.267
004,1661806240.479,3.577,0.207
004,1661806240.979,3.161,0.323
004,1661806241.479,2.811,0.259
004,1661806241.979,2.171,0.253
004,1661806242.479,1.379,0.183
004,1661806242.979,4.931,0.3
004,1661806243.479,1.651,0.352
004,1661806243.980,1.974,0.294
004,1661806244.480,1.995,0.205
004,1661806244.980,1.578,0.266
004,1661806245.480,1.633,0.244
004,1661806245.980,3.11,0.329
004,1661806246.480,1.591,0.37
004,1661806246.980,2.273,0.23
004,1661806247.480,2.419,0.234
004,1661806247.980,5.621,0.202
004,1661806248.480,1.859,0.266
004,1661806248.980,3.316,0.323
004,1661806249.480,2.995,0.231
004,1661806249.980,2.58,0.28
004,1661806250.480,2.306,0.279
004,1661806250.980,1.547,0.251
004,1661806251.480,2.392,0.46
004,1661806251.980,0.816,1.32
004,1661806252.480,0.625,0.91
004,1661806252.980,0.681,1.495
004,1661806253.480,1.607,0.525
004,1661806253.981,3.391,0.219
004,1661806254.481,1.419,0.394
004,1661806254.981,0.956,1.022
004,1661806255.481,1.081,0.988
004,1661806255.981,1.148,1.526
004,1661806256.481,1.485,0.759
004,1661806256.981,1.807,0.844
