UserID,TotalActionNum,Time,Task,TaskActionNum,Address,Past_1,Past_2,Past_3,Past_4,Past_5,Future_1,Future_2,Future_3,Match_Any,Match_1,Match_2,Match_3,Past_CogLoad,Future_CogLoad
004,1,1661806237.782082,Start,1,00100000,00100000,NIL,NIL,NIL,NIL,00100019,00100000,NIL,0,0,0,0,0.1353352832366127,0.1148357958124931
004,2,1661806238.853841,Start,2,00100019,00100019,00100000,NIL,NIL,NIL,00100000,00100019,NIL,1,1,0,0,0.334903202203372,0.13031723409181245
004,3,1661806309.664717,Start,3,00100000,00100000,00100019,NIL,NIL,NIL,00100019,00100000,NIL,1,1,0,0,1.7209445219923907,0.6192767145084882
004,4,1661806434.880299,Navigation_1,1,00100000,00100000,NIL,NIL,NIL,NIL,00100000,00100019,0010cd90,0,0,0,0,1.514398687789502,36.472010460104194
004,5,1661806471.421891,Navigation_1,2,0010cd90,0010cd90,00100000,NIL,NIL,NIL,00100000,0010cd90,00100019,1,0,0,1,2.5393424143401133,41.369011148622334
004,6,1661806498.817912,Navigation_2,1,00100000,00100000,NIL,NIL,NIL,NIL,0010cd90,00100000,00100019,0,0,0,0,0.7083612284442875,52.498376902826465
004,7,1661806529.738537,Navigation_2,2,0010cd90,0010cd90,00100000,NIL,NIL,NIL,0010cd90,00100000,0010cd92,1,1,0,0,1.7860421106102247,59.823626364719374
004,8,1661806541.113744,Navigation_3,1,00100000,00100000,NIL,NIL,NIL,NIL,0010cd90,00100000,00100019,0,0,0,0,0.4564473493535211,64.44577230838956
004,9,1661806594.708192,Navigation_3,2,0010cd90,0010cd90,00100000,NIL,NIL,NIL,0010cd90,00100000,0010b8a0,1,1,0,0,2.0816188588412707,77.35536630585014
004,10,1661806608.358803,String_Search_1,1,00100000,00100000,NIL,NIL,NIL,NIL,0014069b,0010cd90,00100000,0,0,0,0,0.5000196599038162,82.51589404386534
004,11,1661806711.956495,String_Search_2,1,00100000,00100000,NIL,NIL,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,1.3774824560089702,116.7047590683405
004,12,1661806767.404286,String_Search_2,2,0014069b,0014069b,00100000,NIL,NIL,NIL,0014069b,00100000,0010cd90,1,1,0,0,2.714507870711285,129.85771849605067
004,13,1661806784.677987,Cross_Reference_1,1,00100000,00100000,NIL,NIL,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,0.5624756646160881,132.19902162047163
004,14,1661806823.993987,Cross_Reference_1,2,00100027,00100027,00100000,NIL,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,1.8666605956705036,141.80918368954235
004,15,1661806833.922393,Cross_Reference_1,3,00100040,00100040,00100027,00100000,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,2.479915741974053,143.12532890938127
004,16,1661806860.098737,Cross_Reference_1,4,0014069b,0014069b,00100040,00100027,00100000,NIL,0014069b,00100000,001191be,1,1,0,0,3.983907076383057,149.58140920527433
004,17,1661806862.366832,Cross_Reference_1,5,0014069f,0014069f,0014069b,00100040,00100027,00100000,0014069b,00100000,001191be,0,0,0,0,4.275638765755004,150.29424844618455
004,18,1661806866.435811,Cross_Reference_1,6,0014069b,0014069b,0014069f,00100040,00100027,00100000,0014069b,00100000,001191be,1,1,0,0,3.994502573915823,151.60838097924585
004,19,1661806871.356231,Cross_Reference_1,7,0014069d,0014069b,0014069d,0014069f,00100040,00100027,0014069b,00100000,001191be,0,0,0,0,4.597802703364982,153.2342795023306
004,20,1661806871.833685,Cross_Reference_1,8,0014069c,0014069c,0014069b,0014069d,0014069f,00100040,0014069b,00100000,0010cd90,0,0,0,0,4.731723892972878,153.46618125644528
004,21,1661806884.570160,Cross_Reference_1,9,001406a0,0014069b,001406a0,0014069c,0014069d,0014069f,0014069b,00100000,0010cd90,0,0,0,0,6.475278349232105,157.76641761550644
004,22,1661806885.409751,Cross_Reference_1,10,0014069b,0014069b,001406a0,0014069c,0014069d,0014069f,0014069b,00100000,0010cd90,1,1,0,0,6.259469388615927,158.13515573116774
004,23,1661806885.441056,Cross_Reference_1,11,0014069b,0014069b,001406a0,0014069c,0014069d,0014069f,0014069b,001191be,00100000,1,1,0,0,6.1872861431885475,158.17047832204528
004,24,1661806886.748882,Cross_Reference_1,12,001191be,0014069b,001191be,001406a0,0014069c,0014069d,0014069b,00100000,001191be,1,0,1,0,6.506796071189999,158.90866050203823
004,25,1661806907.006949,Cross_Reference_2,1,00100000,00100000,NIL,NIL,NIL,NIL,0014069b,00100000,0010cd90,0,0,0,0,0.6091300663972521,169.3006897986209
004,26,1661806918.893103,Cross_Reference_2,2,0014069b,0014069b,00100000,NIL,NIL,NIL,0014069b,00100000,001191be,1,1,0,0,1.233881219599597,175.05565545405264
004,27,1661806920.864682,Cross_Reference_2,3,0014069b,0014069b,00100000,NIL,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,0.9284587427690695,175.92858501292568
004,28,1661806921.513071,Cross_Reference_2,4,0014069b,0014069b,00100000,NIL,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,0.8617222917779119,176.18732927193588
004,29,1661806921.855444,Cross_Reference_2,5,001191be,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,0,1,0,0.9544060973953108,176.31790227750068
004,30,1661806940.428408,Cross_Reference_2,6,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.740008116512342,184.03095389906807
004,31,1661806947.459184,Cross_Reference_2,7,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.8654458057371124,185.75632594371785
004,32,1661806948.093491,Cross_Reference_2,8,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.8154402611526281,183.60826057622606
004,33,1661806948.915662,Cross_Reference_2,9,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.8207307533875787,183.95207091686174
004,34,1661806950.155185,Cross_Reference_2,10,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.8438640310728585,184.46827898339868
004,35,1661806950.279519,Cross_Reference_2,11,001191be,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,0,1,0,1.1664568015878487,184.50415013265385
004,36,1661806952.304321,Cross_Reference_2,12,001191be,0014069b,001191be,00100000,NIL,NIL,0014069b,00100000,001191be,1,0,1,0,1.2373298357111027,185.31012616142317
004,37,1661806952.693622,Cross_Reference_2,13,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.2262965800699899,185.11140202989378
004,38,1661806954.416374,Cross_Reference_2,14,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.268698524572275,186.03073330365376
004,39,1661806967.565779,Cross_Reference_2,15,0014069b,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,1,0,0,1.4929824969163503,191.09004645743573
004,40,1661806968.332622,Cross_Reference_2,16,001191be,0014069b,001191be,00100000,NIL,NIL,0014069b,001191be,00100000,1,0,1,0,1.3611819578480193,191.3603968895384
004,41,1661806974.257268,Cross_Reference_2,17,001191a0,0014069b,001191be,001191a0,00100000,NIL,0014069b,00100000,001191be,0,0,0,0,1.810223199598176,193.5137171742723
004,42,1661806993.050023,Step_into_function_1,1,0011022e,0011022e,NIL,NIL,NIL,NIL,0011022e,00100000,0014069b,0,0,0,0,0.5866867278451774,222.6809537986886
004,43,1661807019.430202,Step_into_function_1,2,00110250,00110250,0011022e,NIL,NIL,NIL,0011022e,0014069b,00110250,0,0,0,0,1.604703630754262,243.56125608027685
004,44,1661807040.888774,Step_into_function_1,3,0011022e,0011022e,00110250,NIL,NIL,NIL,0011022e,0014069b,00100000,1,1,0,0,1.336004198056241,258.1842609415284
004,45,1661807087.922027,Function_xref_1,1,001191a0,001191a0,NIL,NIL,NIL,NIL,001191a0,00100000,0014069b,0,0,0,0,0.9281401194020168,294.4365134994671
004,46,1661807100.996724,Function_xref_1,2,001191a0,001191a0,NIL,NIL,NIL,NIL,001191a0,0010755d,0014069b,1,1,0,0,0.3337161004183158,302.382381660321
004,47,1661807186.333386,Function_xref_1,3,001191a0,001191a0,NIL,NIL,NIL,NIL,001191a0,0010755d,0014069b,1,1,0,0,0.46351917903428125,347.4633578197334
004,48,1661807188.595765,Function_xref_1,4,001191a0,001191a0,NIL,NIL,NIL,NIL,001191a0,0010755d,0014069b,1,1,0,0,0.14191590957135206,348.44177751046004
004,49,1661807193.976568,Function_xref_1,5,001191a0,001191a0,NIL,NIL,NIL,NIL,001191a0,0010755d,0014069b,1,1,0,0,0.1259586127998574,350.9813146426285
004,50,1661807194.273951,Function_xref_1,6,0010755d,0010755d,001191a0,NIL,NIL,NIL,001191a0,0014069b,00100000,1,0,1,0,0.20198678916508284,351.0693507402449
004,51,1661807242.255222,Function_xref_1,7,00107540,001191a0,00107540,0010755d,NIL,NIL,0014069b,00100000,001191a0,0,0,0,0,2.1456049287392465,372.816401787058
004,52,1661807252.225705,Annotation_1,1,00110208,00110208,NIL,NIL,NIL,NIL,00110208,00110211,00100000,0,0,0,0,0.42733565612011337,395.6887845615641
004,53,1661807280.430338,Annotation_1,2,00110203,00110203,00110208,NIL,NIL,NIL,00110208,0014069b,00110211,0,0,0,0,1.5549218621110146,424.49463665409996
004,54,1661807282.803687,Annotation_1,3,00110209,00110209,00110203,00110208,NIL,NIL,0014069b,00110208,00110211,0,0,0,0,1.8186452334962713,426.7533706754077
004,55,1661807293.358065,Annotation_1,4,00110211,00110211,00110209,00110203,00110208,NIL,00110211,0014069b,00110208,1,0,0,1,2.7616980417366332,436.21586366874203
004,56,1661807301.356558,Annotation_1,5,00110211,00110211,00110209,00110203,00110208,NIL,00110211,0014069b,00110208,1,1,0,0,2.8391731895918153,443.1686055869155
004,57,1661807301.616920,Annotation_1,6,00110250,00110250,00110211,00110209,00110203,00110208,00110211,0014069b,00100000,0,0,0,0,2.9197552961122994,443.45254592838074
004,58,1661807314.197554,Annotation_1,7,00110250,00110250,00110211,00110209,00110203,00110208,0014069b,00110211,00100000,0,0,0,0,3.58139424566417,451.7731188902068
004,59,1661807319.489880,Annotation_1,8,00110208,00110208,00110250,00110211,00110209,00110203,0014069b,00110211,00110208,0,0,0,0,2.864799231328351,456.24681304579093
004,60,1661807324.127386,Annotation_1,9,001101fb,001101fb,00110208,00110250,00110211,00110209,0014069b,00110208,00110211,0,0,0,0,3.3748911868536093,460.209245660411
004,61,1661807326.631740,Annotation_1,10,001101f3,001101f3,00110250,00110208,001101fb,00110211,0014069b,00100000,00110208,0,0,0,0,3.7644558372892565,462.43372747899843
004,62,1661807329.492345,Annotation_1,11,00110210,00110210,001101f3,00110250,00110208,001101fb,0014069b,00110211,00100000,0,0,0,0,4.271898461748237,465.0141981676949
004,63,1661807330.904322,Annotation_1,12,00110211,00110211,00110210,001101f3,00110250,00110208,00110211,0014069b,00110208,1,0,1,0,4.121737770974078,466.36206420024376
