Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1648501186.5359063,0.3135659062,1677.9900961993,658.887202895,-0.055911782,-42.3865061407,8.3222485646,-17.032128788,4.3179072354
1648501187.5359063,0.0930915752,1414.728591783,549.905773403,-0.3168833804,-34.2887468612,-0.2269583993,-17.2578526303,-0.0669334121
1648501188.5359063,0.4773000432,1631.8088453021,615.5001069847,-0.3680728131,-31.450643945,-0.1913021276,-15.8209730363,0.1429989578
1648501189.5359063,0.484648601,1820.5441118359,706.2810193237,-0.0807890881,-37.6270113038,0.6469597437,-18.49002578,0.5658041724
1648501190.5359063,0.6970949217,1358.1740271456,707.8294984854,-0.318702686,-18.7386008705,1.6418307076,-8.5483850814,1.1694628147
1648501191.5359063,0.5362366093,1406.1806496996,682.1029451322,-0.2559833556,-0.837964891,0.3833089109,-0.22732799,0.4597727601
1648501192.5359063,0.2768663039,1371.6405570941,617.6966764881,-0.2071714679,-0.7199602436,0.1425519747,-0.2887041344,0.2097091393
1648501193.5359063,0.4381190783,1740.8304084789,618.2889113525,-0.3082681022,-0.4887551403,-0.1594608994,-0.3241080198,0.1393290895
1648501194.5359063,0.3550877172,1553.1898466772,629.6944757145,-0.0270011104,-0.7619630096,0.3335298958,-0.2142165569,0.3443088065
1648501195.5359063,0.4061350631,1873.464262667,620.8201309385,-0.328856412,-0.0533507472,-0.462124623,-0.2577376851,-0.0279947799
1648501196.5359063,0.3100290297,1219.0344613543,651.2731375949,-0.2603585994,-0.0141744476,-0.5291704595,-0.2716724536,-0.1095707149
1648501197.5359063,0.1883694539,1217.8477315127,704.2009926819,0.0399201292,-0.1148211341,-0.3289902799,-0.221905707,-0.070310413
1648501198.5359063,0.6443941831,1335.0244337116,706.9934508924,-0.3058562141,-0.1400199337,0.6357567689,0.2478684176,0.640075476
1648501199.5359063,0.5996842592,1819.0410541382,710.0553424807,-0.3220822788,0.0891950929,0.0270905873,0.0581428401,0.3133874233
1648501200.5359063,0.6885835949,1305.9292482523,754.661392694,-0.1222754698,0.0965836207,-0.4446614163,-0.1740388978,0.1219610893
1648501201.5359063,0.6005978252,1666.3531858587,762.061054246,-0.3121403225,0.0339752819,-0.2349136642,-0.1004691911,0.1828420805
1648501202.5359063,0.3407833685,1650.7989582993,795.3864445076,-0.0850723094,0.0895500997,-0.177510292,-0.0439800961,0.0816365383
1648501203.5359063,0.660162614,1485.1824889109,806.3560109493,-0.0626168889,0.0898028779,-0.1125781296,-0.0113876259,0.2737922422
1648501204.5359063,0.5193471897,1645.3822986287,691.5091138372,0.2307929874,0.1754448233,0.1389369161,0.1571908697,0.3291420529
1648501205.5359063,0.6250551391,1784.7554440784,684.7924560649,-0.2586121899,0.4518749728,2.5338332026,1.4928540877,1.5794441709
1648501206.5359063,0.7791745557,1569.722822876,772.6898745522,-0.0747023793,0.2283864596,2.4439058655,1.3361461625,1.6115402106
1648501207.5359063,0.5456977889,1285.5042252661,753.5838495602,-0.1842742206,0.1988464513,-0.6371339523,-0.2191437505,-0.0457180817
1648501208.5359063,0.444145949,1834.9914685056,613.4339492359,-0.2968865193,0.1988464513,-1.2122661865,-0.5067098676,-0.3840601188
1648501209.5359063,0.3866651029,1302.1388086987,723.2293916622,0.3076056676,0.3437491434,-0.8154641313,-0.235857494,-0.2143995142
1648501210.5359063,0.5376314188,1770.139180305,631.5317473026,-0.3450309697,0.7287762968,-0.6031452232,0.0628155368,-0.0327569022
1648501211.5359063,0.5977446439,1784.7038338617,637.4560930355,-0.2274080804,0.7287762968,0.0065119491,0.367644123,0.3021282965
1648501212.5359063,0.5951200631,1286.3073257239,800.6938540122,0.4682774526,0.7287762968,1.6795366374,1.2041564671,1.1373283502
1648501213.5359063,0.5896506677,1763.8553882449,701.0381434913,-0.3763490929,0.7287762968,0.1189740323,0.4238751645,0.35431235
1648501214.5359063,0.4819131875,1356.1264955117,640.1157919086,-0.2615340321,0.7287762968,-0.7844895815,-0.0278566424,-0.151288197
1648501215.5359063,0.5684102918,1589.7751843092,673.6283193218,-0.1917125024,0.7287762968,0.8264491009,0.7776126988,0.6974296963
1648501216.5359063,0.6537975634,1414.9050494618,614.4880672405,-0.3482128196,0.7229644884,1.0740316713,0.8984980799,0.8639146174
1648501217.5359063,0.9536389359,1542.124845587,650.7635469738,-0.2754403919,0.5657689109,1.536387042,1.0510779764,1.245012989
1648501218.5359063,0.5277212904,1675.318259863,733.9597695025,-0.0634751212,0.4546718356,6.1409301728,3.2978010042,3.3343257316
1648501219.5359063,0.8751477627,1722.3788275015,701.8135376065,-0.0149306098,0.1864163525,4.1683613623,2.1773888574,2.5217545625
1648501220.5359063,1.5637992678,1757.5195565954,705.700440011,0.2492276113,0.1557782752,1.6604877139,0.9081329945,1.6121434908
1648501221.5359063,1.7126052751,1746.6896362516,729.4580860921,0.4431001662,0.1993719441,0.7076146607,0.4534933024,1.2101099679
1648501222.5359063,1.8614112825,1735.8597159078,753.2157321732,0.6369727212,0.3455840702,-2.6776650029,-1.1660404663,-0.4081268602
1648501223.5359063,2.0102172898,1725.029795564,776.9733782543,0.8308452761,0.2492579908,-2.7391280305,-1.2449350198,-0.3644553703
1648501224.5359063,2.1590232971,1714.1998752202,800.7310243354,1.024717831,0.0231575743,-0.2978297853,-0.1373361055,0.9305967559
1648501225.5359063,2.3078293045,1703.3699548764,824.4886704165,1.218590386,0.3421205743,-1.8331097056,-0.7454945657,0.2373597994
1648501226.5359063,2.4566353118,1692.5400345326,848.2463164976,1.4124629409,0.553240082,-1.1023337232,-0.2745468206,0.6771507943
1648501227.5359063,2.6054413192,1681.7101141887,872.0039625787,1.6063354959,0.7335896399,0.3851246199,0.5593571299,1.4952829695
1648501228.5359063,2.7542473265,1670.8801938449,895.7616086598,1.8002080508,0.7658651009,-1.0617649569,-0.147949928,0.8462411848
1648501229.5359063,2.9030533339,1660.0502735011,919.5192547409,1.9940806057,0.5475608521,-1.4879283958,-0.4701837718,0.707562469
1648501230.5359063,3.0518593412,1649.2203531573,943.276900822,2.1879531607,0.3735350757,-0.9648062331,-0.2956355787,1.0435265541
1648501231.5359063,3.2006653485,1638.3904328135,967.0345469031,2.3818257156,0.2220810241,-0.5191636516,-0.1485413137,1.3407508485
