UserID,Time,TaskLoad,Engagement
003,1652460092.711,1.027,0.166
003,1652460093.211,1.239,0.268
003,1652460093.711,1.375,0.296
003,1652460094.211,1.096,0.322
003,1652460094.712,2.272,0.296
003,1652460095.212,1.071,0.167
003,1652460095.712,0.999,0.119
003,1652460096.212,3.466,0.112
003,1652460096.712,1.146,0.263
003,1652460097.212,4.661,0.144
003,1652460097.712,1.759,0.208
003,1652460098.212,1.024,0.255
003,1652460098.712,0.691,0.288
003,1652460099.212,1.126,0.221
003,1652460099.712,0.986,0.258
003,1652460100.212,0.962,0.16
003,1652460100.712,0.748,0.115
003,1652460101.212,1.184,0.069
003,1652460101.712,0.89,0.259
003,1652460102.213,1.739,0.111
003,1652460102.713,1.012,0.203
003,1652460103.213,1.875,0.21
003,1652460103.713,0.785,0.164
003,1652460104.213,1.632,0.335
003,1652460104.713,0.983,0.144
003,1652460105.213,1.906,0.339
003,1652460105.713,4.321,0.188
003,1652460106.213,3.164,0.168
003,1652460106.713,2.771,0.196
003,1652460107.213,1.604,0.186
003,1652460107.713,0.971,0.207
003,1652460108.213,1.665,0.248
003,1652460108.713,1.3,0.214
003,1652460109.213,1.155,0.24
003,1652460109.714,2.509,0.283
003,1652460110.214,1.741,0.171
003,1652460110.714,1.224,0.301
003,1652460111.214,1.426,0.224
003,1652460111.714,0.74,0.195
003,1652460112.214,0.442,0.186
003,1652460112.714,0.688,0.215
003,1652460113.214,1.839,0.155
003,1652460113.714,1.78,0.201
003,1652460114.214,1.475,0.185
003,1652460114.714,2.275,0.139
003,1652460115.214,1.687,0.127
003,1652460115.714,0.976,0.2
003,1652460116.214,1.694,0.222
003,1652460116.714,1.547,0.144
003,1652460117.215,1.964,0.117
003,1652460117.715,1.57,0.155
003,1652460118.215,1.479,0.111
003,1652460118.715,1.773,0.217
003,1652460119.215,2.772,0.545
003,1652460119.715,2.45,0.392
003,1652460120.215,1.241,0.294
003,1652460120.715,2.75,0.184
003,1652460121.215,0.93,0.107
003,1652460121.715,2.053,0.131
003,1652460122.215,1.147,0.128
003,1652460122.715,0.877,0.061
003,1652460123.215,1.307,0.111
003,1652460123.715,1.039,0.156
003,1652460124.215,2.073,0.196
003,1652460124.716,0.979,0.124
003,1652460125.216,1.145,0.124
003,1652460125.716,0.962,0.098
003,1652460126.216,1.849,0.187
003,1652460126.716,0.695,0.103
003,1652460127.216,1.207,0.195
003,1652460127.716,1.463,0.289
003,1652460128.216,1.336,0.395
003,1652460128.716,1.511,0.207
003,1652460129.216,1.418,0.356
003,1652460129.716,2.733,0.148
003,1652460130.216,3.786,0.098
003,1652460130.716,3.796,0.143
003,1652460131.216,1.855,0.159
003,1652460131.716,2.018,0.098
003,1652460132.217,1.455,0.077
003,1652460132.717,1.701,0.087
003,1652460133.217,1.068,0.097
003,1652460133.717,1.689,0.11
003,1652460134.217,1.15,0.069
003,1652460134.717,2.086,0.086
003,1652460135.217,1.264,0.132
003,1652460135.717,1.057,0.094
003,1652460136.217,3.063,0.144
003,1652460136.717,1.813,0.064
003,1652460137.217,1.857,0.114
003,1652460137.717,1.607,0.115
003,1652460138.217,2.728,0.066
003,1652460138.717,1.956,0.113
003,1652460139.218,1.795,0.093
003,1652460139.718,2.317,0.128
003,1652460140.218,2.762,0.05
003,1652460140.718,3.802,0.072
003,1652460141.218,3.969,0.097
003,1652460141.718,2.587,0.111
003,1652460142.218,2.366,0.136
003,1652460142.718,0.965,0.195
003,1652460143.218,3.167,0.106
003,1652460143.718,1.319,0.092
003,1652460144.218,1.034,0.207
003,1652460144.718,1.244,0.145
003,1652460145.218,2.656,0.184
003,1652460145.718,2.078,0.12
003,1652460146.218,1.575,0.432
003,1652460146.719,1.561,0.365
003,1652460147.219,0.669,0.285
003,1652460147.719,0.616,0.174
003,1652460148.219,1.236,0.131
003,1652460148.719,1.716,0.148
003,1652460149.219,2.697,0.242
003,1652460149.719,0.857,0.275
003,1652460150.219,1.125,0.17
003,1652460150.719,3.263,0.097
003,1652460151.219,1.369,0.141
003,1652460151.719,0.585,0.256
003,1652460152.219,1.757,0.145
003,1652460152.719,0.862,0.108
003,1652460153.219,2.085,0.242
003,1652460153.719,2.584,0.141
003,1652460154.220,2.678,0.135
003,1652460154.720,3.674,0.136
003,1652460155.220,1.601,0.168
003,1652460155.720,2.059,0.127
003,1652460156.220,0.806,0.253
003,1652460156.720,2.415,0.244
003,1652460157.220,0.991,0.159
003,1652460157.720,0.675,0.313
003,1652460158.220,3.801,0.201
003,1652460158.720,1.49,0.146
003,1652460159.220,0.998,0.175
003,1652460159.720,2.626,0.129
003,1652460160.220,1.789,0.123
003,1652460160.720,1.558,0.156
003,1652460161.220,2.4,0.162
003,1652460161.721,2.086,0.13
003,1652460162.221,1.486,0.18
003,1652460162.721,1.25,0.187
003,1652460163.221,1.354,0.242
003,1652460163.721,1.179,0.173
003,1652460164.221,1.296,0.184
003,1652460164.721,1.326,0.169
003,1652460165.221,0.726,0.161
003,1652460165.721,1.193,0.093
003,1652460166.221,2.635,0.193
003,1652460166.721,1.175,0.261
003,1652460167.221,3.38,0.213
003,1652460167.721,3.901,0.337
003,1652460168.221,1.68,0.135
003,1652460168.721,1.367,0.152
003,1652460169.222,0.896,0.191
003,1652460169.722,2.348,0.091
003,1652460170.222,0.999,0.336
003,1652460170.722,1.094,0.125
003,1652460171.222,1.367,0.114
003,1652460171.722,1.036,0.163
003,1652460172.222,1.26,0.278
003,1652460172.722,0.592,0.169
003,1652460173.222,1.045,0.122
003,1652460173.722,2.028,0.084
003,1652460174.222,1.028,0.181
003,1652460174.722,1.488,0.196
003,1652460175.222,0.776,0.198
003,1652460175.722,1.768,0.154
003,1652460176.222,0.962,0.135
003,1652460176.723,1.032,0.191
003,1652460177.223,1.284,0.191
003,1652460177.723,1.25,0.31
003,1652460178.223,0.907,0.229
003,1652460178.723,2.242,0.299
003,1652460179.223,0.664,0.334
003,1652460179.723,1.255,0.304
003,1652460180.223,1.444,0.149
003,1652460180.723,1.848,0.258
003,1652460181.223,1.442,0.167
003,1652460181.723,1.858,0.256
003,1652460182.223,1.91,0.231
003,1652460182.723,1.487,0.416
003,1652460183.223,3.937,0.251
003,1652460183.723,1.015,0.133
003,1652460184.224,2.325,0.251
003,1652460184.724,1.318,0.443
003,1652460185.224,2.4,0.349
003,1652460185.724,1.833,0.221
003,1652460186.224,3.663,0.188
003,1652460186.724,1.929,0.225
003,1652460187.224,3.055,0.157
003,1652460187.724,1.656,0.283
003,1652460188.224,0.987,0.146
003,1652460188.724,1.003,0.22
003,1652460189.224,1.951,0.319
003,1652460189.724,1.669,0.29
003,1652460190.224,2.293,0.157
003,1652460190.724,1.028,0.197
003,1652460191.224,1.98,0.295
003,1652460191.725,1.951,0.243
003,1652460192.225,2.049,0.198
003,1652460192.725,1.523,0.153
003,1652460193.225,1.325,0.271
003,1652460193.725,2.392,0.146
003,1652460194.225,0.774,0.462
003,1652460194.725,2.105,0.443
003,1652460195.225,3.955,0.295
003,1652460195.725,2.751,0.367
003,1652460196.225,1.739,0.364
003,1652460196.725,1.379,0.29
003,1652460197.225,1.689,0.241
003,1652460197.725,2.17,0.2
003,1652460198.225,0.927,0.212
003,1652460198.725,0.982,0.2
003,1652460199.226,1.532,0.19
003,1652460199.726,1.79,0.122
003,1652460200.226,0.88,0.137
003,1652460200.726,1.438,0.203
003,1652460201.226,1.578,0.145
003,1652460201.726,0.98,0.137
003,1652460202.226,1.069,0.18
003,1652460202.726,1.755,0.139
003,1652460203.226,1.181,0.127
003,1652460203.726,1.287,0.202
003,1652460204.226,1.567,0.186
003,1652460204.726,1.518,0.149
