UserID,Time,TaskLoad,Engagement
002,1648502429.873,3.137,0.159
002,1648502430.373,1.269,0.276
002,1648502430.873,2.784,0.169
002,1648502431.373,2.794,0.121
002,1648502431.873,3.229,0.187
002,1648502432.373,1.741,0.24
002,1648502432.873,1.921,0.136
002,1648502433.373,1.914,0.231
002,1648502433.873,1.692,0.147
002,1648502434.373,2.995,0.101
002,1648502434.873,3.405,0.138
002,1648502435.374,1.018,0.222
002,1648502435.874,2.009,0.13
002,1648502436.374,4.201,0.129
002,1648502436.874,1.041,0.231
002,1648502437.374,3.883,0.166
002,1648502437.874,1.334,0.234
002,1648502438.374,3.469,0.18
002,1648502438.874,3.081,0.282
002,1648502439.374,1.394,2.113
002,1648502439.874,0.416,3.679
002,1648502440.374,0.579,6.472
002,1648502440.874,1.175,4.042
002,1648502441.374,0.682,3.191
002,1648502441.874,0.809,6.697
002,1648502442.374,0.481,10.649
002,1648502442.874,0.746,1.99
002,1648502443.374,0.733,0.683
002,1648502443.874,1.679,0.428
002,1648502444.374,1.452,0.977
002,1648502444.874,0.217,2.009
002,1648502445.374,0.309,2.958
002,1648502445.875,0.309,0.444
002,1648502446.375,1.713,0.367
002,1648502446.875,0.767,1.425
002,1648502447.375,0.444,4.853
002,1648502447.875,0.623,3.643
002,1648502448.375,0.986,2.23
002,1648502448.875,6.25,0.184
002,1648502449.375,2.43,0.837
002,1648502449.875,0.667,2.407
002,1648502450.375,0.637,4.081
002,1648502450.875,1.523,1.383
002,1648502451.375,1.31,0.679
002,1648502451.875,10.626,3.12
002,1648502452.375,0.864,2.541
002,1648502452.875,0.572,1.572
002,1648502453.375,1.21,0.695
002,1648502453.875,1.358,0.593
002,1648502454.375,0.446,2.302
002,1648502454.875,0.607,3.146
002,1648502455.375,2.849,0.902
002,1648502455.875,1.884,0.37
002,1648502456.376,1.634,0.36
002,1648502456.876,0.758,0.349
002,1648502457.376,2.177,0.239
002,1648502457.876,1.328,0.301
002,1648502458.376,1.254,0.405
002,1648502458.876,0.672,5.407
002,1648502459.376,0.525,1.442
002,1648502459.876,4.783,0.265
002,1648502460.376,1.783,0.168
002,1648502460.876,6.544,0.091
002,1648502461.376,4.393,0.114
002,1648502461.876,1.854,0.135
002,1648502462.376,2.05,0.067
002,1648502462.876,1.357,0.211
002,1648502463.376,4.622,0.124
002,1648502463.876,2.085,0.381
002,1648502464.376,2.639,0.577
002,1648502464.876,0.832,0.835
002,1648502465.376,0.904,0.653
002,1648502465.876,2.398,0.333
002,1648502466.376,1.713,0.161
002,1648502466.876,3.708,0.12
002,1648502467.377,1.573,0.129
002,1648502467.877,1.078,0.179
002,1648502468.377,1.005,0.181
002,1648502468.877,1.733,0.171
002,1648502469.377,1.543,0.156
002,1648502469.877,2.006,0.161
002,1648502470.377,1.999,0.12
002,1648502470.877,3.455,0.154
002,1648502471.377,2.089,0.171
002,1648502471.877,1.784,0.099
002,1648502472.377,4.662,0.133
002,1648502472.877,4.747,0.17
002,1648502473.377,1.298,0.231
002,1648502473.877,1.539,0.172
002,1648502474.377,2.487,0.196
002,1648502474.877,2.952,0.139
002,1648502475.377,3.543,0.136
002,1648502475.877,6.426,0.174
002,1648502476.377,1.402,0.481
002,1648502476.877,0.704,0.854
002,1648502477.377,0.575,3.833
002,1648502477.878,0.811,4.058
002,1648502478.378,0.31,6.102
002,1648502478.878,0.361,1.75
002,1648502479.378,0.523,2.513
002,1648502479.878,0.613,5.525
002,1648502480.378,0.189,2.036
002,1648502480.878,0.747,0.396
002,1648502481.378,1.595,0.906
002,1648502481.878,0.942,0.415
002,1648502482.378,0.966,0.407
002,1648502482.878,1.199,0.593
002,1648502483.378,0.902,0.994
002,1648502483.878,0.93,0.409
002,1648502484.378,1.116,0.318
002,1648502484.878,1.448,0.536
002,1648502485.378,2.775,0.456
002,1648502485.878,0.377,2.844
002,1648502486.378,0.349,3.051
002,1648502486.878,0.965,1.169
002,1648502487.378,2.187,0.367
002,1648502487.878,1.225,0.248
002,1648502488.379,0.932,0.772
002,1648502488.879,1.402,0.252
002,1648502489.379,0.933,0.24
002,1648502489.879,3.009,0.223
002,1648502490.379,1.457,0.307
002,1648502490.879,1.869,0.36
002,1648502491.379,2.47,0.429
002,1648502491.879,1.868,0.499
002,1648502492.379,1.839,0.351
002,1648502492.879,3.952,0.252
002,1648502493.379,2.238,0.378
002,1648502493.879,3.344,0.351
002,1648502494.379,6.498,0.179
002,1648502494.879,6.005,0.108
002,1648502495.379,1.736,0.16
002,1648502495.879,1.513,0.39
002,1648502496.379,2.294,0.198
002,1648502496.879,3.694,0.286
002,1648502497.379,2.327,0.227
002,1648502497.879,0.868,1.056
002,1648502498.379,0.461,2.055
002,1648502498.880,1.148,1.596
002,1648502499.380,1.29,0.564
002,1648502499.880,1.959,0.28
002,1648502500.380,4.994,0.095
002,1648502500.880,2.305,0.277
002,1648502501.380,2.049,0.253
002,1648502501.880,3.3,0.313
002,1648502502.380,4.498,0.301
002,1648502502.880,1.514,0.36
002,1648502503.380,7.613,0.211
002,1648502503.880,1.636,0.353
002,1648502504.380,4.883,0.245
002,1648502504.880,2.221,0.185
002,1648502505.380,1.487,0.261
002,1648502505.880,0.682,0.308
002,1648502506.380,3.21,0.273
002,1648502506.880,1.494,0.539
002,1648502507.380,2.305,0.182
002,1648502507.880,2.064,0.217
002,1648502508.380,12.278,0.057
002,1648502508.880,8.66,0.114
002,1648502509.380,2.435,0.289
002,1648502509.881,0.585,1.315
002,1648502510.381,1.448,3.68
002,1648502510.881,0.971,1.027
002,1648502511.381,1.343,0.611
002,1648502511.881,1.811,0.417
002,1648502512.381,2.954,0.344
002,1648502512.881,1.507,0.219
002,1648502513.381,4.646,0.275
002,1648502513.881,2.048,0.267
002,1648502514.381,1.251,0.315
002,1648502514.881,1.757,0.432
002,1648502515.381,1.835,0.343
002,1648502515.881,2.32,0.393
002,1648502516.381,1.451,0.351
002,1648502516.881,3.042,0.602
002,1648502517.381,1.315,0.448
002,1648502517.881,3.366,0.235
002,1648502518.381,1.712,0.378
002,1648502518.881,9.477,0.299
002,1648502519.381,1.717,0.202
002,1648502519.881,1.569,0.383
002,1648502520.382,1.215,0.261
002,1648502520.882,3.029,0.175
002,1648502521.382,3.327,0.326
002,1648502521.882,2.323,0.462
002,1648502522.382,3.066,0.381
002,1648502522.882,4.328,0.293
002,1648502523.382,3.659,0.208
002,1648502523.882,3.35,0.23
002,1648502524.382,1.223,0.247
002,1648502524.882,1.675,0.341
002,1648502525.382,2.908,0.281
002,1648502525.882,3.612,0.192
002,1648502526.382,4.622,0.129
002,1648502526.882,6.83,0.231
002,1648502527.382,7.495,0.251
002,1648502527.882,4.254,0.315
002,1648502528.382,1.585,0.306
002,1648502528.882,3.588,0.223
002,1648502529.382,1.132,0.186
002,1648502529.882,3.212,0.101
002,1648502530.382,2.326,0.211
002,1648502530.883,1.71,0.183
002,1648502531.383,3.011,0.118
002,1648502531.883,2.177,0.217
002,1648502532.383,3.345,0.396
002,1648502532.883,1.157,0.246
002,1648502533.383,2.388,0.22
002,1648502533.883,3.282,0.193
002,1648502534.383,1.96,0.313
002,1648502534.883,1.903,0.451
002,1648502535.383,1.664,0.581
002,1648502535.883,2.232,0.278
002,1648502536.383,2.876,0.234
002,1648502536.883,1.576,0.237
002,1648502537.383,2.29,0.187
002,1648502537.883,1.779,0.161
002,1648502538.383,2.323,0.14
002,1648502538.883,4.59,0.161
002,1648502539.383,3.674,0.132
002,1648502539.883,1.63,0.449
002,1648502540.383,7.59,0.284
002,1648502540.883,1.559,0.33
002,1648502541.384,0.874,0.255
002,1648502541.884,1.679,0.194
002,1648502542.384,2.626,0.209
002,1648502542.884,1.425,0.132
002,1648502543.384,2.447,0.137
002,1648502543.884,6.719,0.333
002,1648502544.384,1.242,0.338
002,1648502544.884,2.976,0.236
002,1648502545.384,2.378,0.348
002,1648502545.884,7.979,0.162
002,1648502546.384,2.422,0.158
002,1648502546.884,5.015,0.114
002,1648502547.384,4.068,0.075
002,1648502547.884,2.147,0.065
002,1648502548.384,3.29,0.135
002,1648502548.884,4.89,0.256
