Time,pupilDilation,gazeX,gazeY,gazeVelocity,movingRmssd,deltaGSRsmooth,Agg_stress,Agg_cogLoad
1661805865.5519063,-0.9656366167,1563.7451934325,534.3189578607,-0.1359697851,9.9015647505,0.135355916,5.0184603332,-0.4151403504
1661805866.5519063,-0.7588221017,1584.8184958112,660.7345562759,0.4254404345,-24.058879426,0.0889879706,-11.9849457277,-0.3349170655
1661805867.5519063,0.7543613406,1333.0852948761,1062.2278366918,1.9640065514,-33.3419191129,0.0869566934,-16.6274812098,0.420659017
1661805868.5519063,0.4985974418,1810.381584965,705.7531963966,-0.0468952101,-33.5908252531,0.0969846034,-16.7469203249,0.2977910226
1661805869.5519063,1.5433508253,1953.8791963683,746.1065008537,-0.0817132668,-32.6538996246,0.0956956546,-16.279101985,0.81952324
1661805870.5519063,0.6623633313,1726.5029674955,711.8969408148,-0.030307804,-32.7718231069,0.0940018689,-16.338910619,0.3781826001
1661805871.5519063,2.2628238491,1903.4539138831,741.4245843437,-0.0806550852,-12.6766410555,0.0910434412,-6.2927988072,1.1769336451
1661805872.5519063,-0.2244653786,1684.2819335746,688.7474736615,-0.1425950506,0.010931582,0.0917181611,0.0513248716,-0.0663736088
1661805873.5519063,-0.8435496823,1828.4279822709,688.3189855685,0.0690598515,0.0138054004,0.0920678786,0.0529366395,-0.3757409019
1661805874.5519063,-0.539748248,1648.8559223543,689.5098818329,-0.0520045384,0.1240404523,0.0939260891,0.1089832707,-0.2229110795
1661805875.5519063,1.5032733492,1672.1761517409,706.5274763447,-0.1833302271,0.010931582,0.0950717623,0.0530016721,0.7991725558
1661805876.5519063,-0.8413385349,1710.5902563127,672.8635857844,-0.1655049252,0.010931582,0.0927770901,0.0518543361,-0.3742807224
1661805877.5519063,0.405753032,1665.4904661426,679.6340746738,-0.1265528185,0.010931582,0.0954917112,0.0532116466,0.2506223716
1661805878.5519063,-1.2853692104,1719.969755911,671.6477500719,-0.0733295312,0.010931582,0.0930593169,0.0519954494,-0.5961549468
1661805879.5519063,0.5463903906,1701.3942208106,676.3824831235,-0.1551304845,0.010931582,0.0916167437,0.0512741628,0.3190035671
1661805880.5519063,-1.6110958056,1681.8956521134,611.322398921,0.0996471004,0.010931582,0.0920290016,0.0514802918,-0.759533402
1661805881.5519063,-0.1035677125,1838.7030911171,763.3431759729,0.0941037024,0.010931582,0.0937248263,0.0523282042,-0.0049214431
1661805882.5519063,0.5170815876,1815.5630618807,640.8276861849,-0.1231209299,0.010931582,0.0941553047,0.0525434434,0.3056184461
1661805883.5519063,1.3125625563,1686.0347546292,649.7232996221,-0.1604658262,0.010931582,0.0917170536,0.0513243178,0.702139805
1661805884.5519063,2.7005135186,1697.9843136341,742.3710796619,-0.0323607972,0.010931582,0.093646478,0.05228903,1.3970799983
1661805885.5519063,2.6880942728,1489.663095088,686.1469659801,0.0139365384,0.010931582,0.0923270267,0.0516293044,1.3902106498
1661805886.5519063,2.4727358617,2038.7314199631,675.3156798248,0.3795278541,0.010931582,0.0920129531,0.0514722675,1.2823744074
1661805887.5519063,-1.3728406224,145.9218842639,86.9432436967,-0.0797813241,0.010931582,0.0922934021,0.051612492,-0.6402736102
1661805888.5519063,-0.0215419899,586.9213746749,255.0412647525,0.074891009,0.010931582,0.0939343053,0.0524329436,0.0361961577
1661805889.5519063,1.6389498865,1671.4045414211,757.8008262131,0.0894599166,0.010931582,0.0950625569,0.0529970695,0.8670062217
1661805890.5519063,2.6397359394,1712.2119279673,797.4064340148,0.3065468798,0.010931582,0.092334497,0.0516330395,1.3660352182
1661805891.5519063,2.3975198074,1724.5404965791,846.9770321847,0.4302481537,0.010931582,0.0921351289,0.0515333554,1.2448274681
1661805892.5519063,-0.5676669773,676.0582313294,173.0083740074,0.2215241908,0.010931582,0.0927409843,0.0518362831,-0.2374629965
1661805893.5519063,0.9201581107,1522.9797944251,928.9551419935,0.0636495605,0.010931582,0.0937659517,0.0523487668,0.5069620312
1661805894.5519063,2.7206169063,1861.0055591345,1386.1846487733,0.4886827852,0.010931582,0.095529695,0.0532306385,1.4080733006
1661805895.5519063,2.1800477379,1740.3189247243,716.2821142969,-0.1524274013,0.010931582,0.0922483596,0.0515899708,1.1361480487
1661805896.5519063,0.3570824266,569.8274455919,212.8848855731,0.0939561638,0.010931582,0.0919747948,0.0514531884,0.2245286107
1661805897.5519063,-0.2405569438,1285.7946178312,437.2262874127,0.0572097209,0.010931582,0.0918252309,0.0513784065,-0.0743658564
1661805898.5519063,2.5011446918,1657.3472188847,1274.4264460699,0.1136669967,0.010931582,0.0926305784,0.0517810802,1.2968876351
1661805899.5519063,3.0389175444,1443.498100485,1260.6248826142,0.1047531173,0.010931582,0.0946779983,0.0528047901,1.5667977713
1661805900.5519063,0.1044756303,513.2379772879,180.5171655359,0.292745634,0.010931582,0.0946763669,0.0528039744,0.0995759986
1661805901.5519063,0.672940053,1704.9338540992,697.6287993681,-0.0540215884,0.010931582,0.0926331462,0.0517823641,0.3827865996
1661805902.5519063,2.9214252578,1700.0565851722,743.3172581473,-0.0202060457,0.010931582,0.0926419889,0.0517867855,1.5070336233
1661805903.5519063,3.3124145431,1712.8114902862,695.5487467412,-0.1150963806,0.010931582,0.0916928016,0.0513121918,1.7020536723
1661805904.5519063,1.4276517541,895.5927870045,205.0238312821,0.0526654767,0.010931582,0.0916414353,0.0512865086,0.7596465947
1661805905.5519063,0.0028226829,1349.5904902111,549.3153588815,0.1248504049,0.010931582,0.0952254785,0.0530785302,0.0490240807
1661805906.5519063,0.535540248,1640.0494245963,709.0955744077,-0.0898864921,0.010931582,0.0948877455,0.0529096637,0.3152139967
1661805907.5519063,0.7538344164,1698.7889527905,718.9679256672,-0.0958432248,0.010931582,0.0927085906,0.0518200863,0.4232715035
1661805908.5519063,2.4068876799,2451.2512274957,526.4904971958,0.7278235233,0.0819853969,0.0937311924,0.0878582947,1.2503094362
1661805909.5519063,2.2584063311,2117.5745616651,403.4701935585,0.9223485273,0.0510166632,0.0945320646,0.0727743639,1.1764691979
1661805910.5519063,2.6263008221,1720.7582021351,737.6289629361,-0.1511823761,0.010931582,0.092005861,0.0514687215,1.3591533416
1661805911.5519063,1.7860219499,1594.789073985,562.284811504,0.7003016099,0.010931582,0.0920499873,0.0514907846,0.9390359686
1661805912.5519063,-1.5437003063,1745.5899493533,682.117900999,-0.0680652921,0.010931582,0.0927923291,0.0518619555,-0.7254539886
1661805913.5519063,-1.2764295927,1717.1763248059,700.253849099,-0.0682679974,0.010931582,0.0929950867,0.0519633344,-0.591717253
1661805914.5519063,-1.166150006,1866.1661028827,718.6697195914,-0.0934690182,0.010931582,0.0939855273,0.0524585546,-0.5360822394
1661805915.5519063,-1.2123492918,1606.1025501662,704.4390432002,-0.1095676773,0.010931582,0.0944070467,0.0526693143,-0.5589711225
1661805916.5519063,0.0602555182,1713.2167247099,973.12971112,0.5859117691,0.010931582,0.0954597571,0.0531956695,0.0778576377
1661805917.5519063,1.7157109637,1678.7944290263,796.0073913103,0.1977329061,0.010931582,0.0958870108,0.0534092964,0.9057989872
1661805918.5519063,2.0713026241,1642.8626266338,914.495407856,0.396885256,0.010931582,0.092380092,0.051655837,1.081841358
1661805919.5519063,2.4019356941,1661.3163714063,774.6221882461,-0.1487684449,0.010931582,0.0950773771,0.0530044796,1.2485065356
1661805920.5519063,-1.7242369221,1686.4401108934,718.9044973263,-0.1242029712,0.010931582,0.0933464203,0.0521390012,-0.8154452509
1661805921.5519063,-0.7477336437,1759.5539679277,746.5702379756,-0.0339435289,0.010931582,0.0922200753,0.0515758286,-0.3277567842
1661805922.5519063,0.4329203054,1255.5431801906,338.7975428126,-0.085032721,0.010931582,0.0968652705,0.0538984262,0.264892788
1661805923.5519063,0.7434571315,1477.9901831828,275.2486787987,-0.1402332194,0.010931582,0.0958513477,0.0533914648,0.4196542396
1661805924.5519063,0.615709743,1835.4791373841,638.9572620124,2.1362354361,0.010931582,0.0978334711,0.0543825266,0.356771607
1661805925.5519063,0.702004973,1228.9901245208,305.08994101,-0.1339978,0.010931582,0.1047351165,0.0578333492,0.4033700447
1661805926.5519063,0.5229390528,1193.2181622459,366.0845278556,-0.1593188719,0.010931582,0.0972785198,0.0541050509,0.3101087863
1661805927.5519063,-0.0232571797,1188.6967729448,407.2393669888,-0.1117460406,0.010931582,0.0898184561,0.050375019,0.0332806382
1661805928.5519063,-0.1179424685,1205.0923570023,500.881473413,-0.0868388465,0.010931582,0.0903387015,0.0506351417,-0.0138018835
1661805929.5519063,-0.7791706582,1333.3051878666,480.6068928521,-0.1446527433,0.010931582,0.0873321161,0.049131849,-0.3459192711
1661805930.5519063,-1.0872113614,1247.4716308291,511.8569508823,-0.1441439347,0.010931582,0.0927360534,0.0518338177,-0.497237654
1661805931.5519063,-1.2848733753,1254.528642212,488.4629497309,-0.1581533084,0.010931582,0.0919986126,0.0514650973,-0.5964373814
1661805932.5519063,-1.7149490406,1319.0551645413,471.5331826685,-0.1266630869,0.010931582,0.0900296846,0.0504806333,-0.812459678
1661805933.5519063,-1.4929042483,1224.8171930111,585.8070273884,-0.1113247707,-0.00333433,0.0909292957,0.0437974829,-0.7009874763
1661805934.5519063,-1.0657607888,1290.2411515257,699.1608164605,-0.1273542708,-0.1938178038,0.0919001838,-0.05095881,-0.4869303025
1661805935.5519063,-1.3234496247,1263.0789872507,720.303264349,-0.1321814633,-0.2026605728,0.092476569,-0.0550920019,-0.6154865279
1661805936.5519063,-1.4820532301,1319.6716014375,751.189142905,-0.117344814,-0.3259781294,0.0926346967,-0.1166717164,-0.6947092667
1661805937.5519063,-1.4714116888,1408.8157530268,793.7616143234,0.0972487777,-0.1218873929,0.0934718937,-0.0142077496,-0.6889698975
1661805938.5519063,-1.1810005354,1217.1184575707,912.0971297093,-0.136042665,-0.0317109202,0.0927724876,0.0305307837,-0.5441140239
1661805939.5519063,-1.8377296991,1489.1095969757,901.390673566,-0.0972742705,-0.3408437091,0.092706413,-0.124068648,-0.872511643
1661805940.5519063,-1.8982650323,1777.7005815506,899.8813202151,-0.099042753,-0.4713431712,0.0938434939,-0.1887498386,-0.9022107692
1661805941.5519063,-1.8254200572,1825.1114141817,908.7707029052,-0.0947026554,-0.4881042438,0.0932958442,-0.1974041998,-0.8660621065
1661805942.5519063,-1.7720405425,1862.5391357151,935.8118802421,-0.0095957239,-0.584422033,0.0945600387,-0.2449309972,-0.8387402519
1661805943.5519063,-1.6184699227,1168.8448163177,1018.3308577168,-0.1603109171,-0.6064093052,0.0932213952,-0.256593955,-0.7626242637
1661805944.5519063,-1.6106585764,1491.4513520454,1042.9372861574,-0.0849200264,-0.6064093052,0.0919016039,-0.2572538506,-0.7593784863
1661805945.5519063,-1.6648856116,1823.9572577667,1092.6170292803,0.078626368,-0.5689807035,0.0928729254,-0.238053889,-0.7860063431
